Geneid	Chr	Start	End	Strand	Length	/scratch/project_2000350/genomics/rna-seq/bam/S1_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S2_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S4_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S5_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S6_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S7_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S8_1_5.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_0_015.bam	/scratch/project_2000350/genomics/rna-seq/bam/S9_1_5.bam
NCU08620	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9625326;9626140;9626227;9626509	9626007;9626154;9626426;9626742	-;-;-;-	1131	31657	37691	22516	35267	38364	38670	48903	51496	41020	44438	33517	41538
NCU08621	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9628172;9628621;9628807	9628560;9628740;9629777	+;+;+	1480	7750	8512	12807	17049	9424	18035	22164	9565	18490	9541	17963	6639
NCU08622	Supercontig_12.1	9630616	9631366	-	751	128	79	1418	1038	181	802	673	108	953	182	969	59
NCU08623	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9632157;9632311;9632650	9632250;9632534;9632730	+;+;+	399	10	3	16	17	0	11	6	12	20	10	24	2
NCU08624	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9632834;9633876;9634326;9634471	9633806;9634249;9634402;9635437	-;-;-;-	2391	78	81	101	99	54	113	84	126	98	96	136	102
NCU08625	Supercontig_12.1;Supercontig_12.1	9635625;9636418	9636246;9638039	+;+	2244	30	31	36	45	30	62	41	39	47	37	37	27
NCU08626	Supercontig_12.1;Supercontig_12.1	9639998;9640704	9640628;9641977	-;-	1905	1178	1206	1766	1892	1246	1575	1807	1603	1796	1440	2204	1156
NCU08627	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9642793;9642800;9643148;9643494;9643494	9643071;9643414;9643414;9643633;9643583	-;-;-;-;-	762	38045	45856	21172	31687	44838	32733	42946	54992	34649	47741	27330	44920
NCU08628	Supercontig_12.1	9643796	9647246	+	3451	144	169	175	276	136	234	295	214	285	175	265	180
NCU08629	Supercontig_12.1;Supercontig_12.1	9647309;9648263	9647995;9649735	+;+	2160	49	59	71	109	67	96	142	76	75	91	110	88
NCU08630	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9649955;9650400;9650547;9650719;9650991	9650317;9650482;9650653;9650899;9651509	-;-;-;-;-	1253	18	14	48	56	20	23	49	16	45	8	42	7
NCU08631	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9652927;9653139;9653314;9653591	9653063;9653248;9653494;9654209	-;-;-;-	1047	210	268	76	61	165	42	59	170	70	197	57	179
NCU08632	Supercontig_12.1	9654225	9659092	-	4868	1979	2560	518	762	1815	617	761	2425	643	2237	807	2513
NCU08633	Supercontig_12.1;Supercontig_12.1	9659335;9661078	9660959;9661155	+;+	1703	1910	2161	996	1307	1935	1132	1134	2302	1083	2079	1216	1828
NCU08634	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9664598;9665098;9665613	9664809;9665554;9666695	+;+;+	1752	119	157	189	347	134	250	385	97	298	131	312	103
NCU08635	Supercontig_12.1;Supercontig_12.1	9666967;9667477	9667156;9667581	+;+	295	1066	1332	714	778	967	573	724	1097	687	993	673	1319
NCU08636	Supercontig_12.1;Supercontig_12.1	9677219;9678145	9678069;9678368	-;-	1075	64	81	177	172	88	151	191	60	174	81	188	95
NCU08637	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9681489;9681489;9685090;9685285;9685285	9684965;9684965;9685206;9685711;9685711	-;-;-;-;-	4021	709	833	232	272	576	207	290	770	261	826	256	1051
NCU08638	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9686294;9686294;9686534;9686786;9687189;9687189;9687189;9687459;9687459;9687459;9687635;9687635;9687635;9687784;9687784;9687784;9688215	9687113;9686593;9687113;9687113;9687387;9687387;9687387;9687562;9687562;9687562;9687702;9687702;9687702;9688210;9688179;9687959;9688284	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1688	70	98	192	240	58	244	310	98	242	102	261	45
NCU08639	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9689585;9690064;9690255	9689749;9690185;9690543	-;-;-	576	1	0	1	0	0	0	0	0	7	0	0	0
NCU08640	Supercontig_12.1;Supercontig_12.1	9692170;9693179	9693120;9693340	-;-	1113	4	4	8	3	0	4	4	0	6	0	7	2
NCU08641	Supercontig_12.1	9694632	9697675	+	3044	51	61	88	108	53	90	94	64	79	38	95	22
NCU08642	Supercontig_12.1;Supercontig_12.1;Supercontig_12.1;Supercontig_12.1	9701175;9701175;9704814;9704823	9704759;9704759;9704915;9704915	-;-;-;-	3687	118	106	313	471	110	375	422	176	342	120	450	82
NCU08643	Supercontig_12.4;Supercontig_12.4	4248244;4248614	4248548;4250307	+;+	1999	6	14	20	14	6	16	20	2	8	13	15	8
NCU08644	Supercontig_12.4	4246083	4246905	+	823	10	6	8	9	4	4	1	6	0	19	15	14
NCU08645	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4244482;4244662;4244985	4244576;4244916;4245308	+;+;+	674	0	6	0	4	2	2	0	0	0	0	0	2
NCU08646	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4242983;4243113;4243570	4243033;4243496;4243578	+;+;+	444	0	0	0	0	0	0	0	0	0	0	0	0
NCU08648	Supercontig_12.4;Supercontig_12.4	4228212;4229163	4229090;4229918	-;-	1635	2302	2591	2763	4326	2691	4473	6161	2911	4687	2449	3501	2381
NCU08649	Supercontig_12.4;Supercontig_12.4	4226570;4226794	4226719;4227545	-;-	902	8	0	6	4	12	11	16	0	12	4	18	12
NCU08650	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4222416;4222417;4225303;4225458	4225111;4225111;4225865;4225865	-;-;-;-	3259	141	98	249	299	133	234	229	208	290	157	249	114
NCU08651	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4218260;4219129;4220442	4219060;4220375;4222142	+;+;+	3749	116	141	224	474	136	262	376	208	363	126	385	120
NCU08652	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4214035;4215491;4216158;4216602	4215429;4216093;4216542;4216869	-;-;-;-	2651	39	51	77	89	49	100	141	69	124	63	130	58
NCU08654	Supercontig_12.4;Supercontig_12.4	4210231;4210789	4210737;4211223	+;+	942	4	2	0	0	0	0	0	0	0	0	2	10
NCU08655	Supercontig_12.4;Supercontig_12.4	4207236;4207627	4207530;4208361	+;+	1030	69	71	47	117	71	98	125	133	93	86	81	79
NCU08656	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4204634;4204769;4205021;4205501;4205749;4205864;4206371	4204721;4204866;4205420;4205672;4205803;4206237;4206977	+;+;+;+;+;+;+	1794	53	70	130	140	95	160	157	109	175	155	111	81
NCU08657	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4202614;4202937;4203044	4202805;4202948;4203142	-;-;-	303	12	17	36	30	42	29	28	33	32	22	21	22
NCU08658	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4198665;4199359;4199785;4201372	4199265;4199720;4201304;4202341	+;+;+;+	3453	132	165	157	196	201	170	172	216	249	234	183	225
NCU08660	Supercontig_12.4	4190161	4191643	-	1483	232	275	253	309	326	302	339	379	294	329	337	241
NCU08661	Supercontig_12.4	4188525	4190172	+	1648	508	517	571	958	552	654	884	775	684	679	690	429
NCU08662	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4186015;4186721;4187117;4187330	4186408;4187041;4187260;4188252	+;+;+;+	1782	16	8	18	28	8	22	16	17	24	6	22	10
NCU08663	Supercontig_12.4;Supercontig_12.4	4181767;4182157	4182095;4183965	+;+	2138	947	1407	276	412	1595	467	468	1910	428	1727	385	1095
NCU08664	Supercontig_12.4;Supercontig_12.4	4180254;4180628	4180549;4181672	+;+	1341	46	26	120	116	24	88	208	40	128	32	171	42
NCU08666	Supercontig_12.4;Supercontig_12.4	4165449;4166893	4166835;4167413	-;-	1908	68	78	175	256	56	150	363	68	264	148	249	79
NCU08667	Supercontig_12.4	4163770	4165061	+	1292	14	26	5	7	30	7	4	15	16	9	14	13
NCU08668	Supercontig_12.4;Supercontig_12.4	4161313;4162126	4162051;4162768	+;+	1382	557	629	278	444	883	398	505	862	432	766	370	578
NCU08669	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4158607;4159431;4160375	4159366;4160315;4160984	-;-;-	2255	1022	1062	3725	4679	1222	3802	4529	1401	4325	1185	4102	799
NCU08670	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4156723;4157972;4158091	4157899;4158030;4158183	-;-;-	1329	1424	1203	1502	1765	1074	1059	1106	1040	1234	1132	1467	753
NCU08671	Supercontig_12.4	4153391	4155854	+	2464	629	639	1372	1639	636	1564	2394	850	1731	837	1694	463
NCU08672	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4152887;4153293;4153530	4153022;4153370;4153639	-;-;-	324	34	19	14	11	11	22	20	25	15	21	11	31
NCU08674	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4146320;4147091;4150993;4150993	4150678;4150684;4151302;4151119	-;-;-;-	4675	16496	15534	19199	25281	17881	21496	26949	20815	22830	17960	20853	10271
NCU08676	Supercontig_12.4;Supercontig_12.4	4140691;4141098	4140909;4142222	+;+	1344	315	281	3519	3278	344	2027	1974	353	2439	428	3311	159
NCU08677	Supercontig_12.4;Supercontig_12.4	4138583;4139099	4139010;4139382	-;-	712	1732	990	11692	10316	1535	9802	7982	1805	9353	1922	10108	1048
NCU08678	Supercontig_12.4;Supercontig_12.4	4136868;4138234	4138102;4138515	-;-	1517	100	36	1574	1841	74	1182	1325	66	1472	96	1785	48
NCU08679	Supercontig_12.4;Supercontig_12.4	4135400;4135503	4135431;4135815	+;+	345	4	0	0	6	0	0	4	0	3	2	4	0
NCU08680	Supercontig_12.4;Supercontig_12.4	4131246;4131664	4131531;4131791	-;-	414	0	0	0	0	0	0	4	0	0	0	0	0
NCU08681	Supercontig_12.4;Supercontig_12.4	4127528;4127903	4127690;4130424	+;+	2685	1706	1630	1257	1800	1710	1652	2005	2075	1752	1988	1777	1402
NCU08682	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4121109;4122024;4123400;4123717	4121525;4123309;4123656;4126910	+;+;+;+	5154	269	314	451	586	329	570	661	445	568	354	587	337
NCU08683	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4115324;4116707;4117073;4117171;4117463	4116636;4116898;4117078;4117249;4118378	-;-;-;-;-	2506	776	779	594	645	722	751	934	949	796	937	716	835
NCU08685	Supercontig_12.4;Supercontig_12.4	4104617;4107451	4107388;4109427	-;-	4749	7615	10105	1605	2685	8446	2745	2989	9695	2452	8715	1962	8682
NCU08686	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4099901;4100902;4101779;4102585	4100832;4101711;4102514;4102740	-;-;-;-	2634	835	1046	1388	1901	946	1539	1618	1101	1608	1031	1732	802
NCU08687	Supercontig_12.4;Supercontig_12.4	4097773;4098800	4098737;4099911	+;+	2077	73	76	562	934	58	683	742	70	676	66	726	61
NCU08688	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4091898;4095322;4096549;4096664;4097148	4095187;4096485;4096610;4097068;4097300	-;-;-;-;-	5074	16	14	108	101	14	68	123	8	112	41	105	10
NCU08689	Supercontig_12.4	4090769	4095378	+	4610	39	18	31	40	15	32	25	28	54	43	58	25
NCU08691	Supercontig_12.4;Supercontig_12.4	4082383;4083530	4083432;4083839	-;-	1360	40	37	46	28	35	32	44	39	31	41	32	24
NCU08692	Supercontig_12.4;Supercontig_12.4	4078318;4082276	4082049;4082373	+;+	3830	145	206	123	201	230	115	216	272	162	213	162	162
NCU08693	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4072108;4072514;4072712	4072350;4072643;4075127	+;+;+	2789	35043	36562	22566	31193	34799	25775	34441	40569	28174	32229	28344	26458
NCU08694	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4067261;4067919;4069395;4070276;4070471	4067843;4069328;4070201;4070344;4071054	-;-;-;-;-	3453	2388	2713	3018	3711	2799	3195	3276	2897	3249	2702	3519	2142
NCU08695	Supercontig_12.4;Supercontig_12.4;Supercontig_12.4	4064859;4065618;4066353	4065552;4066277;4067114	+;+;+	2116	16214	17701	6541	8152	13808	5396	7527	14848	6211	15558	6473	13207
NCU08696	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3712644;3715097;3715165;3715466;3716563;3716672;3716864;3717254;3717447;3717618	3715026;3715105;3715395;3716497;3716613;3716800;3717190;3717385;3717543;3718148	+;+;+;+;+;+;+;+;+;+	4922	746	672	852	924	873	820	870	894	972	893	913	760
NCU08697	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3718787;3719072;3720087;3720168;3720449;3721080;3721577;3721910;3722203;3722390	3718925;3720027;3720095;3720398;3721011;3721443;3721624;3722146;3722334;3722533	+;+;+;+;+;+;+;+;+;+	2823	23	28	29	34	14	18	13	20	12	17	23	18
NCU08699	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3723739;3724304;3725205	3724221;3725061;3725844	+;+;+	1881	2071	1882	8661	4224	1862	3634	4580	1944	4026	1710	6673	968
NCU08700	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3727391;3727391;3727597	3732074;3727487;3732058	+;+;+	4684	52	48	727	937	54	736	706	98	769	65	870	51
NCU08701	Supercontig_12.2;Supercontig_12.2	3732840;3736947	3736893;3737893	-;-	5001	84	77	106	147	90	132	171	87	169	64	179	79
NCU08702	Supercontig_12.2	3738468	3739691	-	1224	34	8	89	92	28	58	77	34	73	15	118	10
NCU08703	Supercontig_12.2;Supercontig_12.2	3739991;3740345	3740276;3740964	-;-	906	92	61	557	533	61	353	367	108	466	99	555	57
NCU08705	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3744413;3747492;3747644;3748025	3747403;3747573;3747962;3748512	+;+;+;+	3880	22	33	54	60	54	46	76	36	99	44	60	52
NCU08706	Supercontig_12.2	3748761	3750846	-	2086	30	20	74	112	41	87	128	46	90	42	118	15
NCU08707	Supercontig_12.2;Supercontig_12.2	3751024;3751726	3751640;3753069	-;-	1961	2730	3114	3124	3898	3279	3952	4321	3195	3676	3474	3583	2560
NCU08708	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3753501;3754809;3755222;3756127	3754752;3755134;3755782;3756432	-;-;-;-	2445	635	786	628	733	665	557	577	788	671	769	701	666
NCU08709	Supercontig_12.2;Supercontig_12.2	3756943;3760463	3760366;3760900	-;-	3862	6192	8065	2069	2049	6359	1992	1790	6363	1883	6116	2080	6599
NCU08711	Supercontig_12.2;Supercontig_12.2	3764829;3765285	3765229;3765330	-;-	447	18	28	77	37	36	42	42	15	43	26	48	17
NCU08712	Supercontig_12.2;Supercontig_12.2	3767043;3768198	3768095;3769140	+;+	1996	1654	1881	556	504	2530	576	428	2847	504	2359	591	1555
NCU08713	Supercontig_12.2;Supercontig_12.2	3769094;3769783	3769720;3770896	-;-	1741	11438	12055	12973	14829	12362	11486	11435	13302	12343	13347	13193	12606
NCU08715	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3773044;3775045;3776272;3776419	3774942;3776205;3776350;3776758	+;+;+;+	3479	623	525	5479	6019	618	3888	4174	760	4668	736	5701	369
NCU08716	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3777609;3777863;3778230;3778722;3779146;3779361	3777774;3778114;3778664;3779070;3779280;3779613	-;-;-;-;-;-	1590	2	0	31	15	6	7	18	0	22	0	20	0
NCU08717	Supercontig_12.2	3782277	3783941	+	1665	11	10	78	79	28	31	43	19	93	23	81	16
NCU08718	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3786274;3787000;3787592	3786928;3787520;3788355	+;+;+	1940	31	41	142	149	42	129	132	20	139	52	115	42
NCU08719	Supercontig_12.2;Supercontig_12.2	3788709;3790708	3790627;3790742	+;+	1954	385	328	361	485	559	438	447	539	471	575	450	394
NCU08720	Supercontig_12.2;Supercontig_12.2	3792534;3793100	3793026;3794040	-;-	1434	18942	24064	4158	3624	31137	6625	4198	34927	4330	30515	4070	21187
NCU08721	Supercontig_12.2;Supercontig_12.2	3794980;3797388	3797322;3798612	-;-	3568	323	272	115	158	275	188	100	397	135	362	162	198
NCU08722	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3798742;3798858;3799059	3798800;3798892;3799402	-;-;-	438	0	0	2	8	8	2	4	0	0	0	2	1
NCU08723	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3800068;3800327;3800435	3800126;3800346;3800616	-;-;-	261	0	0	0	0	0	0	0	0	0	0	0	1
NCU08724	Supercontig_12.2	3801521	3802246	-	726	52	65	34	40	77	21	42	62	34	42	29	20
NCU08726	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3805777;3807261;3807555;3807731;3808981	3807200;3807492;3807670;3808830;3809265	-;-;-;-;-	3157	1202	1043	1076	1132	1360	986	1275	1605	1291	1672	1614	1034
NCU08727	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3809744;3810109;3810429;3810429;3811449	3810370;3810370;3811321;3811766;3811766	-;-;-;-;-	1965	8641	10936	6636	6415	10723	7414	5646	11708	7628	10186	7395	7807
NCU08728	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3812692;3813214;3813531;3814173	3813113;3813229;3813710;3814461	+;+;+;+	907	4362	4982	1691	2358	5172	2429	3406	5959	2631	5120	2209	4483
NCU08729	Supercontig_12.2;Supercontig_12.2	3814518;3815540	3815403;3816166	-;-	1513	302	299	280	289	263	178	200	257	261	301	273	341
NCU08730	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3816306;3817757;3819047	3817703;3818983;3819180	-;-;-	2759	162	171	183	301	220	178	259	253	202	273	272	223
NCU08731	Supercontig_12.2;Supercontig_12.2	3820520;3821222	3821169;3822258	+;+	1687	27	40	73	108	73	87	81	56	74	51	137	48
NCU08732	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3822813;3823424;3823557;3823804;3824108	3823370;3823489;3823769;3824040;3824290	-;-;-;-;-	1257	5	2	24	30	10	15	31	12	14	7	16	16
NCU08733	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3824792;3824886;3825495	3824832;3825422;3826621	+;+;+	1705	32	26	39	75	38	30	42	32	38	42	48	34
NCU08734	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3827142;3827867;3828505;3829103	3827780;3828223;3829010;3829394	-;-;-;-	1794	0	0	2	6	2	6	4	0	0	1	2	0
NCU08735	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3830351;3830830;3831851	3830744;3831748;3832192	-;-;-	1655	22	2	23	9	7	12	7	11	9	16	10	12
NCU08736	Supercontig_12.2	3833965	3835497	+	1533	3362	4258	596	775	1712	515	527	2440	515	3164	568	3815
NCU08737	Supercontig_12.2;Supercontig_12.2	3837747;3839530	3839508;3840081	+;+	2314	0	12	23	10	14	12	18	18	18	17	23	12
NCU08738	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3842219;3843880;3844666	3843819;3844449;3845206	-;-;-	2712	14691	17970	4989	7978	20492	9855	10463	23852	9191	22455	7442	21547
NCU08739	Supercontig_12.2;Supercontig_12.2	3848627;3849637	3849408;3850614	-;-	1760	229	151	268	259	264	286	273	247	291	253	316	248
NCU08741	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3855430;3856150;3858130;3858489	3856092;3858075;3858426;3859274	-;-;-;-	3672	311	282	790	1089	287	763	1145	351	942	374	943	267
NCU08742	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3859990;3860735;3861556	3860606;3861464;3861902	-;-;-	1694	912	718	817	836	1254	873	721	1227	886	1193	1055	584
NCU08743	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3862002;3862823;3863087	3862753;3862983;3863390	-;-;-	1217	1371	1455	1571	2219	1835	1911	2075	2058	2150	1999	1907	1235
NCU08744	Supercontig_12.2;Supercontig_12.2	3866395;3867423	3867362;3868339	+;+	1885	6865	7491	8544	9679	6595	8815	10481	7930	9526	7404	9034	6091
NCU08745	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3870395;3870566;3870786	3870456;3870702;3871165	-;-;-	579	0	0	0	0	0	0	0	0	0	0	0	0
NCU08746	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3873518;3873763;3874259	3873704;3874198;3875060	+;+;+	1425	52	54	14	7	74	16	10	113	22	70	11	87
NCU08747	Supercontig_12.2;Supercontig_12.2	3875261;3877088	3877020;3877329	-;-	2002	8	8	8	12	6	8	14	1	18	2	12	0
NCU08748	Supercontig_12.2;Supercontig_12.2	3877725;3878498	3878438;3880497	-;-	2714	311	462	137	291	484	180	302	480	310	471	240	352
NCU08749	Supercontig_12.2;Supercontig_12.2	3880844;3883926	3883840;3883948	+;+	3020	61	88	51	87	79	81	89	64	95	60	94	70
NCU08750	Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2;Supercontig_12.2	3883967;3884212;3884429;3884633;3884882;3884949;3885119;3885610	3884140;3884381;3884491;3884822;3884897;3885042;3885549;3886016	-;-;-;-;-;-;-;-	1545	219	226	226	260	306	257	274	320	321	200	261	158
NCU08752	Supercontig_12.3;Supercontig_12.3	5265629;5266707	5266635;5268474	+;+	2775	19	6	215	198	6	134	165	25	151	10	184	4
NCU08753	Supercontig_12.3;Supercontig_12.3	5261768;5262868	5262756;5264452	+;+	2574	0	0	0	0	1	2	2	0	2	0	6	0
NCU08755	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5254966;5257544;5258002	5257471;5257698;5258478	-;-;-	3138	603	498	9172	10101	744	7603	5261	739	6755	625	7844	355
NCU08756	Supercontig_12.3;Supercontig_12.3	5252358;5254067	5253875;5254295	-;-	1747	10	20	132	182	14	87	50	38	90	20	119	6
NCU08757	Supercontig_12.3;Supercontig_12.3	5250258;5251202	5251140;5251830	-;-	1512	4	0	2	4	2	0	4	2	0	0	8	1
NCU08760	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5242495;5243111;5243863	5242904;5243800;5244087	+;+;+	1325	104	67	115	89	81	124	129	103	114	78	93	58
NCU08761	Supercontig_12.3;Supercontig_12.3	5239371;5241083	5240906;5241715	+;+	2169	1125	1220	840	908	1427	789	1091	1508	1021	1507	1025	1016
NCU08762	Supercontig_12.3;Supercontig_12.3	5237086;5238746	5238658;5238986	-;-	1814	354	414	1302	1759	282	1153	1612	362	1612	376	1581	235
NCU08763	Supercontig_12.3	5231463	5235227	+	3765	550	626	172	217	608	221	238	692	191	508	227	431
NCU08764	Supercontig_12.3;Supercontig_12.3	5229533;5230752	5230548;5230922	-;-	1187	8	10	14	26	9	12	8	6	21	7	18	8
NCU08765	Supercontig_12.3	5226752	5227600	-	849	0	0	0	0	2	0	0	0	0	0	0	0
NCU08766	Supercontig_12.3	5221629	5223943	-	2315	1165	1209	2200	2750	1270	2160	2095	1546	2343	1519	2780	1108
NCU08767	Supercontig_12.3;Supercontig_12.3	5215762;5218026	5217893;5218271	-;-	2378	364	502	315	294	464	333	283	561	206	538	352	350
NCU08768	Supercontig_12.3	5205835	5207268	-	1434	70	57	482	498	47	295	495	75	433	69	521	46
NCU08769	Supercontig_12.3;Supercontig_12.3	5205042;5205532	5205420;5205927	+;+	775	27679	16653	93629	67185	12884	36180	39878	16479	47508	16297	66380	8161
NCU08770	Supercontig_12.3;Supercontig_12.3	5203616;5204091	5203983;5204342	-;-	620	1069	435	6149	3246	362	2379	2682	562	3236	552	4946	241
NCU08771	Supercontig_12.3;Supercontig_12.3	5199747;5200339	5200282;5202476	-;-	2674	2359	3182	4240	5082	3065	3412	3349	2969	3688	3012	4365	2680
NCU08772	Supercontig_12.3	5195513	5199063	-	3551	6067	7868	1973	2818	6421	3053	2832	7167	2620	6653	2462	5983
NCU08773	Supercontig_12.3	5194710	5195727	+	1018	194	178	70	58	136	80	78	187	67	186	121	135
NCU08774	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5192331;5192864;5193144	5192780;5193076;5193337	-;-;-	857	1	0	4	5	2	3	1	3	4	6	3	0
NCU08775	Supercontig_12.3;Supercontig_12.3	5189937;5190234	5190161;5191069	-;-	1061	61	59	72	124	97	97	104	70	107	71	133	47
NCU08776	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5184556;5187777;5188207;5188662	5187706;5188069;5188436;5189005	-;-;-;-	4018	1103	1253	541	668	1604	984	769	1695	714	1720	645	1311
NCU08777	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5177585;5177906;5178038	5177745;5177938;5178179	-;-;-	336	27	56	51	56	63	30	62	42	70	35	67	58
NCU08779	Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3;Supercontig_12.3	5147518;5147518;5149058;5149559;5149559;5150559;5150559	5148936;5149451;5149451;5150509;5150509;5153182;5152040	-;-;-;-;-;-;-	5509	4884	5723	3751	4843	5285	4118	4232	6073	4281	5871	4055	5771
NCU08780	Supercontig_12.3;Supercontig_12.3	5145733;5146042	5145932;5146613	+;+	772	0	0	0	2	2	0	0	0	0	0	2	0
NCU08781	Supercontig_12.3;Supercontig_12.3	5143944;5144464	5144408;5144505	+;+	507	2	0	0	0	1	0	0	0	0	2	0	0
NCU08783	Supercontig_12.3	5135492	5136906	-	1415	547	633	875	943	697	923	904	745	972	884	977	653
